Depth;POINTID;OC;TH_LAT;TH_LONG;SURVEY_DATE;Elev;LC0_Desc;LC1_Desc;LU1_Desc
0-20 cm;47862690;12.4;47.15023795;16.13421178;06/07/2018;291;Woodland;Other coniferous woodland;Forestry
0-20 cm;47882704;16.7;47.27427248;16.17535859;06/07/2018;373;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;47982688;47.5;47.1232602;16.28969291;02/06/2018;246;Woodland;Other mixed woodland;Forestry
0-20 cm;48022702;28.1;47.24569335;16.35750603;06/07/2018;305;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;48062708;19.4;47.29637182;16.41678159;05/07/2018;335;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;48122730;18;47.48881664;16.52059488;18/06/2018;232;Cropland;Triticale;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;48202738;12.5;47.5541021;16.63555874;18/06/2018;283;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;48222780;22.9;47.92869563;16.71115772;21/05/2018;136;Cropland;Vineyards;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;48342774;29.1;47.86505893;16.8638522;26/06/2018;115;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
