Depth;POINTID;OC;TH_LAT;TH_LONG;SURVEY_DATE;Elev;LC0_Desc;LC1_Desc;LU1_Desc
0-20 cm;9928962348;87.4;42.73388883;-7.526929234;08/05/18;644;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;9928962388;32.6;43.0838252;-7.633329548;22/05/18;483;Shrubland;Shrubland with sparse tree cover;Semi-natural and natural areas not in use
0-20 cm;9928962406;54.9;43.24120678;-7.68176274;06/08/18;486;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9928962438;36.5;43.52085848;-7.768727579;01/06/18;710;Shrubland;Shrubland without tree cover;Semi-natural and natural areas not in use
0-20 cm;9929002312;73.4;42.42701396;-7.385102902;02/08/18;733;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9929002366;34.2;42.8997741;-7.52675981;03/05/18;427;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929002376;27.7;42.98726747;-7.553325605;04/05/18;461;Woodland;Other mixed woodland;Forestry
0-20 cm;9929002384;108.6;43.05724983;-7.57465414;26/05/18;470;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929002402;70.5;43.21467001;-7.622891612;06/08/18;515;Shrubland;Shrubland without tree cover;Forestry
0-20 cm;9929002406;155.9;43.24964473;-7.633657985;06/08/18;568;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929022398;58.2;43.18389723;-7.588111904;30/05/18;454;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929022422;44.4;43.39373837;-7.65278511;06/08/18;560;Shrubland;Shrubland without tree cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929042294;134.5;42.27757179;-7.291161025;16/07/18;1557;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9929042302;46.2;42.34767765;-7.311760102;16/07/18;922;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929042356;58.1;42.82060669;-7.452511062;03/05/18;582;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929042420;34.8;43.38047049;-7.623265414;06/08/18;570;Shrubland;Shrubland without tree cover;Semi-natural and natural areas not in use
0-20 cm;9929042438;81.8;43.53780598;-7.672078769;16/06/18;541;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9929062458;125.1;43.71679564;-7.70249205;17/06/18;122;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929082270;47.7;42.0753887;-7.182503372;13/07/18;1123;Shrubland;Shrubland without tree cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929082288;89.9;42.23321012;-7.228393409;16/07/18;1222;Shrubland;Shrubland without tree cover;Semi-natural and natural areas not in use
0-20 cm;9929082342;59.4;42.70634398;-7.368023646;25/04/18;731;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9929082382;50.7;43.05649378;-7.473387089;29/05/18;599;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929082418;83;43.37139568;-7.569654223;27/05/18;691;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
